iter	Passed	Remaining
0	5	2630
1	10	2666
2	15	2621
3	21	2618
4	25	2558
5	30	2527
6	35	2524
7	40	2518
8	46	2512
9	50	2489
10	56	2524
11	62	2532
12	67	2513
13	71	2476
14	76	2480
15	81	2474
16	86	2449
17	90	2433
18	96	2431
19	100	2421
20	105	2406
21	110	2400
22	115	2398
23	120	2388
24	125	2379
25	130	2377
26	135	2371
27	141	2385
28	146	2375
29	151	2367
30	156	2363
31	161	2359
32	165	2348
33	170	2342
34	176	2342
35	181	2333
36	185	2323
37	190	2316
38	195	2315
39	200	2307
40	205	2297
41	210	2292
42	215	2290
43	221	2293
44	226	2288
45	231	2280
46	236	2276
47	242	2281
48	247	2277
49	252	2271
50	257	2268
51	263	2267
52	268	2264
53	273	2257
54	278	2249
55	283	2244
56	288	2239
57	292	2231
58	297	2225
59	303	2223
60	308	2219
61	312	2210
62	318	2206
63	323	2203
64	328	2201
65	333	2195
66	338	2190
67	343	2183
68	349	2181
69	354	2179
70	359	2173
71	364	2167
72	369	2161
73	374	2156
74	379	2148
75	383	2141
76	388	2136
77	393	2129
78	398	2122
79	403	2117
80	408	2113
81	414	2110
82	419	2105
83	423	2099
84	429	2096
85	434	2092
86	440	2090
87	445	2087
88	451	2082
89	456	2079
90	461	2076
91	467	2073
92	472	2067
93	477	2062
94	482	2059
95	488	2054
96	493	2050
97	498	2044
98	503	2040
99	509	2037
100	515	2034
101	520	2029
102	525	2024
103	530	2019
104	536	2018
105	541	2014
106	547	2010
107	552	2005
108	557	2000
109	563	1996
110	568	1990
111	572	1984
112	577	1978
113	582	1972
114	587	1966
115	591	1959
116	597	1955
117	603	1952
118	608	1946
119	612	1941
120	617	1934
121	622	1929
122	627	1924
123	632	1918
124	637	1913
125	643	1909
126	648	1905
127	653	1899
128	658	1893
129	663	1888
130	668	1883
131	673	1877
132	678	1871
133	682	1865
134	687	1859
135	692	1853
136	696	1846
137	702	1842
138	707	1836
139	711	1829
140	716	1824
141	721	1819
142	726	1813
143	730	1806
144	736	1802
145	741	1798
146	746	1793
147	751	1786
148	756	1781
149	761	1776
150	766	1770
151	770	1764
152	775	1759
153	780	1754
154	785	1748
155	790	1742
156	795	1736
157	799	1731
158	804	1725
159	809	1719
160	814	1714
161	818	1708
162	823	1703
163	829	1699
