iter	Passed	Remaining
0	4	2431
1	9	2359
2	14	2405
3	19	2398
4	24	2381
5	29	2407
6	34	2422
7	39	2411
8	44	2443
9	49	2441
10	54	2443
11	59	2432
12	64	2402
13	69	2395
14	73	2389
15	79	2391
16	83	2383
17	88	2377
18	94	2382
19	98	2371
20	103	2359
21	108	2354
22	113	2354
23	118	2341
24	122	2328
25	127	2326
26	132	2326
27	137	2319
28	142	2315
29	147	2314
30	152	2310
31	157	2302
32	162	2295
33	167	2289
34	171	2284
35	176	2272
36	181	2268
37	186	2264
38	191	2261
39	195	2249
40	200	2245
41	205	2241
42	210	2237
43	215	2230
44	220	2230
45	225	2227
46	230	2223
47	236	2223
48	241	2220
49	246	2221
50	251	2217
51	257	2214
52	262	2210
53	267	2208
54	272	2206
55	277	2201
56	282	2193
57	287	2187
58	292	2183
59	296	2176
60	301	2167
61	306	2162
62	310	2156
63	315	2148
64	319	2139
65	324	2135
66	329	2129
67	334	2125
68	339	2118
69	344	2114
70	348	2106
71	353	2100
72	358	2098
73	363	2092
74	367	2083
75	372	2078
76	377	2074
77	382	2069
78	386	2060
79	391	2057
80	396	2052
81	401	2045
82	405	2037
83	410	2032
84	414	2025
85	419	2020
86	424	2015
87	430	2013
88	435	2010
89	439	2002
90	444	1997
91	449	1992
92	454	1987
93	458	1982
94	464	1980
95	469	1974
96	473	1967
97	478	1961
98	483	1956
99	487	1950
100	492	1943
101	497	1939
102	501	1933
103	506	1927
104	511	1922
105	516	1918
106	520	1912
107	525	1907
108	530	1903
109	535	1898
110	539	1891
111	544	1885
112	549	1881
113	554	1876
114	558	1869
115	563	1866
116	568	1861
117	573	1855
118	577	1850
119	582	1845
120	588	1843
121	593	1839
122	597	1832
123	602	1826
124	613	1839
125	621	1844
126	631	1854
127	636	1849
128	644	1853
129	649	1848
130	654	1843
131	658	1836
132	663	1830
133	668	1825
134	672	1818
135	677	1812
136	681	1806
137	687	1802
138	691	1797
139	697	1792
140	702	1788
141	707	1782
142	711	1776
143	716	1771
144	722	1768
145	727	1763
146	731	1756
147	736	1751
148	741	1746
149	745	1740
150	750	1733
151	755	1728
152	759	1723
153	764	1717
154	768	1711
155	773	1706
156	778	1700
157	783	1695
158	788	1691
159	793	1685
160	797	1679
161	802	1673
162	807	1668
163	811	1662
164	816	1657
165	821	1652
166	826	1647
167	830	1641
168	835	1635
169	840	1630
170	844	1624
171	849	1619
172	854	1614
173	858	1609
174	863	1603
175	868	1598
176	873	1593
177	878	1588
178	882	1582
179	887	1577
180	892	1572
181	896	1566
182	901	1560
183	905	1555
184	910	1549
185	915	1545
186	920	1540
187	925	1535
188	929	1529
189	934	1524
190	939	1519
191	944	1514
192	948	1508
193	953	1503
194	958	1498
195	962	1492
196	967	1488
197	972	1483
198	977	1478
199	982	1473
200	986	1467
201	991	1462
202	995	1456
203	1000	1451
204	1005	1446
205	1010	1442
206	1015	1437
207	1020	1432
208	1025	1427
209	1029	1422
210	1034	1416
211	1038	1411
212	1043	1405
213	1047	1400
214	1052	1395
215	1057	1389
216	1061	1383
217	1066	1379
218	1070	1374
219	1075	1368
220	1079	1363
221	1084	1358
222	1089	1352
223	1093	1347
224	1098	1342
225	1102	1336
226	1107	1332
227	1112	1327
228	1117	1322
229	1121	1316
230	1126	1311
231	1131	1306
232	1135	1301
233	1140	1296
234	1145	1291
235	1149	1286
236	1154	1280
237	1159	1275
238	1163	1271
239	1168	1266
240	1173	1260
241	1177	1255
242	1182	1250
243	1186	1245
244	1191	1239
245	1196	1235
246	1201	1230
247	1205	1225
248	1211	1221
249	1216	1216
250	1221	1211
251	1225	1205
252	1230	1201
253	1235	1196
254	1239	1191
255	1244	1185
256	1249	1181
257	1253	1175
258	1258	1170
259	1262	1165
260	1267	1160
261	1271	1155
262	1276	1150
263	1281	1145
264	1286	1141
265	1291	1135
266	1296	1131
267	1302	1127
268	1306	1122
269	1311	1116
270	1316	1112
271	1320	1107
272	1324	1101
273	1329	1096
274	1334	1091
